complaint_id,text,category,priority,sentiment,resolution_time
1,Inquiry about pricing It has been 3 days.,Trade,Medium,neutral,13
2,The package was crushed No rush.,Packaging,Low,positive,18
3,Need bulk order details No rush.,Trade,Low,positive,17
4,I need a quote for a large order It has been 4 days.,Trade,Medium,neutral,13
5,The package was crushed,Packaging,Medium,neutral,7
6,Torn box asap!!!,Packaging,High,negative,2
7,What is the wholesale price? No rush.,Trade,Low,positive,26
8,Quality is terrible and broke quick!!,Product,High,negative,4
9,Need bulk order details It has been 5 days.,Trade,Medium,neutral,12
10,Inquiry about pricing No rush.,Trade,Low,positive,23
11,Trade-related query resolve soon!!,Trade,High,negative,2
12,Need bulk order details No rush.,Trade,Low,positive,19
13,Box was broken No rush.,Packaging,Low,positive,23
14,Need bulk order details It has been 2 days.,Trade,Medium,neutral,11
15,Item is completely broken It has been 4 days.,Product,Medium,neutral,8
16,Poor packaging quality,Packaging,Medium,neutral,6
17,I need a refund because it broke,Product,Medium,neutral,14
18,Product malfunctioning It has been 3 days.,Product,Medium,neutral,10
19,Quality is terrible and broke It has been 5 days.,Product,Medium,neutral,6
20,This product broke immediately,Product,Medium,neutral,14
21,Wrapping was completely destroyed It has been 3 days.,Packaging,Medium,neutral,8
22,Damaged packaging immediately!!,Packaging,High,negative,4
23,Product malfunctioning It has been 4 days.,Product,Medium,neutral,13
24,Defective item received quick!,Product,High,negative,3
25,Poor packaging quality It has been 5 days.,Packaging,Medium,neutral,14
26,Poor packaging quality asap!,Packaging,High,negative,4
27,The package was crushed No rush.,Packaging,Low,positive,22
28,Trade-related query,Trade,Medium,neutral,15
29,Inquiry about pricing asap!,Trade,High,negative,2
30,Trade-related query quick!!,Trade,High,negative,3
31,I need a refund because it broke fast!,Product,High,negative,1
32,Trade-related query urgent!!,Trade,High,negative,2
33,Quality is terrible and broke It has been 2 days.,Product,Medium,neutral,7
34,Product malfunctioning urgent!,Product,High,negative,4
35,Trade-related query,Trade,Medium,neutral,12
36,I need a refund because it broke It has been 5 days.,Product,Medium,neutral,9
37,Need bulk order details No rush.,Trade,Low,positive,18
38,I need a quote for a large order,Trade,Medium,neutral,14
39,Wrapping was completely destroyed No rush.,Packaging,Low,positive,16
40,What is the wholesale price? It has been 2 days.,Trade,Medium,neutral,11
41,Box was broken No rush.,Packaging,Low,positive,24
42,I need a quote for a large order No rush.,Trade,Low,positive,24
43,Need bulk order details fast!!!,Trade,High,negative,1
44,Torn box emergency!!!,Packaging,High,negative,5
45,Wrapping was completely destroyed It has been 4 days.,Packaging,Medium,neutral,8
46,Trade-related query immediately!!,Trade,High,negative,1
47,Product malfunctioning It has been 2 days.,Product,Medium,neutral,14
48,Box was broken It has been 5 days.,Packaging,Medium,neutral,11
49,Product stopped working,Product,Medium,neutral,11
50,Defective item received asap!!,Product,High,negative,4
51,Defective item received No rush.,Product,Low,positive,22
52,Box was broken emergency!!!,Packaging,High,negative,2
53,Quality is terrible and broke,Product,Medium,neutral,12
54,Wrapping was completely destroyed emergency!,Packaging,High,negative,4
55,I need a refund because it broke,Product,High,negative,3
56,Trade-related query No rush.,Trade,Low,positive,27
57,I need a quote for a large order,Trade,Medium,neutral,13
58,The package was crushed It has been 2 days.,Packaging,Medium,neutral,8
59,Inquiry about pricing It has been 3 days.,Trade,Medium,neutral,14
60,Inquiry about pricing,Trade,High,negative,1
61,Quality is terrible and broke,Product,High,negative,4
62,Box was broken It has been 2 days.,Packaging,Medium,neutral,9
63,Product stopped working asap!!,Product,High,negative,1
64,Product stopped working,Product,High,negative,1
65,Quality is terrible and broke No rush.,Product,Low,positive,26
66,I need a refund because it broke,Product,Medium,neutral,12
67,Product stopped working It has been 3 days.,Product,Medium,neutral,13
68,Defective item received It has been 3 days.,Product,Medium,neutral,8
69,Product stopped working,Product,High,negative,1
70,The package was crushed emergency!,Packaging,High,negative,2
71,What is the wholesale price? deadline!!,Trade,High,negative,2
72,Product malfunctioning It has been 3 days.,Product,Medium,neutral,10
73,I need a refund because it broke resolve soon!!,Product,High,negative,4
74,Product malfunctioning It has been 4 days.,Product,Medium,neutral,15
75,This product broke immediately,Product,Medium,neutral,6
76,Item is completely broken asap!!,Product,High,negative,1
77,This product broke immediately fast!!,Product,High,negative,4
78,What is the wholesale price?,Trade,Medium,neutral,10
79,What is the wholesale price? It has been 3 days.,Trade,Medium,neutral,12
80,This product broke immediately,Product,Medium,neutral,8
81,What is the wholesale price? critical!!,Trade,High,negative,5
82,Damaged packaging asap!,Packaging,High,negative,4
83,Product stopped working No rush.,Product,Low,positive,30
84,Poor packaging quality,Packaging,Medium,neutral,10
85,Damaged packaging No rush.,Packaging,Low,positive,24
86,Quality is terrible and broke,Product,High,negative,5
87,I need a quote for a large order asap!!,Trade,High,negative,3
88,Box was broken It has been 4 days.,Packaging,Medium,neutral,14
89,Product malfunctioning It has been 4 days.,Product,Medium,neutral,14
90,The package was crushed It has been 4 days.,Packaging,Medium,neutral,12
91,Wrapping was completely destroyed deadline!!!,Packaging,High,negative,4
92,The package was crushed It has been 3 days.,Packaging,Medium,neutral,8
93,Box was broken It has been 2 days.,Packaging,Medium,neutral,11
94,Inquiry about pricing,Trade,Medium,neutral,9
95,Wrapping was completely destroyed No rush.,Packaging,Low,positive,27
96,Poor packaging quality It has been 3 days.,Packaging,Medium,neutral,9
97,Torn box It has been 4 days.,Packaging,Medium,neutral,13
98,Need bulk order details fast!!,Trade,High,negative,4
99,Poor packaging quality fast!!,Packaging,High,negative,5
100,Box was broken No rush.,Packaging,Low,positive,28
101,Need bulk order details No rush.,Trade,Low,positive,27
102,Need bulk order details,Trade,High,negative,1
103,Need bulk order details critical!!,Trade,High,negative,2
104,Damaged packaging No rush.,Packaging,Low,positive,19
105,What is the wholesale price?,Trade,Medium,neutral,13
106,Inquiry about pricing,Trade,Medium,neutral,14
107,The package was crushed It has been 4 days.,Packaging,Medium,neutral,8
108,Inquiry about pricing emergency!,Trade,High,negative,5
109,Poor packaging quality It has been 4 days.,Packaging,Medium,neutral,9
110,Product malfunctioning,Product,Medium,neutral,14
111,What is the wholesale price? It has been 4 days.,Trade,Medium,neutral,8
112,I need a refund because it broke quick!,Product,High,negative,5
113,Box was broken,Packaging,Medium,neutral,6
114,What is the wholesale price? critical!!,Trade,High,negative,1
115,Damaged packaging asap!,Packaging,High,negative,3
116,Product stopped working asap!!!,Product,High,negative,4
117,Damaged packaging No rush.,Packaging,Low,positive,18
118,Trade-related query It has been 5 days.,Trade,Medium,neutral,6
119,Trade-related query quick!!,Trade,High,negative,1
120,Quality is terrible and broke fast!,Product,High,negative,5
121,Wrapping was completely destroyed It has been 2 days.,Packaging,Medium,neutral,8
122,Inquiry about pricing,Trade,Medium,neutral,12
123,Product stopped working,Product,Medium,neutral,11
124,I need a quote for a large order,Trade,Medium,neutral,14
125,Inquiry about pricing No rush.,Trade,Low,positive,26
126,Damaged packaging,Packaging,High,negative,3
127,Inquiry about pricing immediately!,Trade,High,negative,2
128,Damaged packaging,Packaging,High,negative,3
129,What is the wholesale price? resolve soon!!!,Trade,High,negative,2
130,Product malfunctioning It has been 5 days.,Product,Medium,neutral,6
131,What is the wholesale price? No rush.,Trade,Low,positive,20
132,Damaged packaging,Packaging,High,negative,4
133,Wrapping was completely destroyed It has been 3 days.,Packaging,Medium,neutral,13
134,This product broke immediately resolve soon!!,Product,High,negative,4
135,I need a quote for a large order No rush.,Trade,Low,positive,29
136,What is the wholesale price?,Trade,High,negative,5
137,Quality is terrible and broke No rush.,Product,Low,positive,27
138,Inquiry about pricing deadline!!,Trade,High,negative,3
139,What is the wholesale price?,Trade,Medium,neutral,8
140,Damaged packaging No rush.,Packaging,Low,positive,18
141,Need bulk order details emergency!,Trade,High,negative,5
142,Trade-related query,Trade,Medium,neutral,15
143,Product stopped working It has been 5 days.,Product,Medium,neutral,8
144,Product malfunctioning immediately!!,Product,High,negative,5
145,Poor packaging quality No rush.,Packaging,Low,positive,24
146,Need bulk order details No rush.,Trade,Low,positive,22
147,What is the wholesale price? It has been 2 days.,Trade,Medium,neutral,14
148,What is the wholesale price? It has been 2 days.,Trade,Medium,neutral,15
149,Torn box It has been 3 days.,Packaging,Medium,neutral,8
150,Torn box It has been 2 days.,Packaging,Medium,neutral,15
151,Item is completely broken emergency!,Product,High,negative,1
152,Poor packaging quality,Packaging,Medium,neutral,11
153,Need bulk order details,Trade,High,negative,2
154,I need a quote for a large order,Trade,High,negative,3
155,The package was crushed It has been 5 days.,Packaging,Medium,neutral,10
156,I need a quote for a large order emergency!!!,Trade,High,negative,1
157,Trade-related query No rush.,Trade,Low,positive,17
158,Torn box No rush.,Packaging,Low,positive,28
159,Wrapping was completely destroyed critical!,Packaging,High,negative,5
160,Trade-related query,Trade,High,negative,1
161,I need a quote for a large order,Trade,Medium,neutral,7
162,What is the wholesale price? It has been 2 days.,Trade,Medium,neutral,6
163,I need a refund because it broke,Product,High,negative,4
